time,money,total_asset,market_value,profit,profit_ratio
2014-10-10,13628.439899999978,1051513.0799,1037884.64,51513.07990000001,0.05151307990000001
2014-10-13,13628.439899999978,1045383.8398999999,1031755.3999999999,45383.839899999904,0.0453838398999999
2014-10-14,13628.439899999978,1047426.9198999999,1033798.4799999999,47426.91989999986,0.047426919899999864
2014-10-15,13628.439899999978,1051513.0799,1037884.64,51513.07990000001,0.05151307990000001
2014-10-16,13628.439899999978,1055599.2399,1041970.7999999999,55599.23989999993,0.05559923989999993
2014-10-17,13628.439899999978,1047426.9198999999,1033798.4799999999,47426.91989999986,0.047426919899999864
2014-10-20,13628.439899999978,1052534.6198999998,1038906.1799999999,52534.619899999816,0.052534619899999815
2014-10-21,13628.439899999978,1044362.2999,1030733.86,44362.29989999998,0.044362299899999985
2014-10-22,13628.439899999978,1045383.8398999999,1031755.3999999999,45383.839899999904,0.0453838398999999
2014-10-23,13628.439899999978,1059685.3999,1046056.9600000001,59685.39990000008,0.059685399900000075
2014-10-24,13628.439899999978,1053556.1598999999,1039927.72,53556.15989999985,0.05355615989999985
2014-10-27,13628.439899999978,1037211.5199,1023583.08,37211.519899999956,0.037211519899999955
2014-10-28,13628.439899999978,1052534.6198999998,1038906.1799999999,52534.619899999816,0.052534619899999815
2014-10-29,13628.439899999978,1065814.6399,1052186.2000000002,65814.63990000007,0.06581463990000007
2014-10-30,13628.439899999978,1079094.6598999999,1065466.22,79094.65989999985,0.07909465989999985
2014-10-31,13628.439899999978,1140387.0598999998,1126758.6199999999,140387.05989999976,0.14038705989999975
2014-11-03,13628.439899999978,1148559.3798999998,1134930.94,148559.37989999983,0.14855937989999982
2014-11-04,13628.439899999978,1121999.3398999998,1108370.9,121999.33989999979,0.12199933989999978
2014-11-05,13628.439899999978,1118934.7199,1105306.28,118934.71989999991,0.1189347198999999
2014-11-06,13628.439899999978,1120977.7998999998,1107349.3599999999,120977.79989999975,0.12097779989999975
2014-11-07,13628.439899999978,1128128.5799,1114500.1400000001,128128.57990000001,0.1281285799
2014-11-10,13628.439899999978,1151623.9999,1137995.56,151623.99989999994,0.15162399989999994
2014-11-11,13628.439899999978,1164904.0198999997,1151275.5799999998,164904.01989999972,0.16490401989999973
2014-11-12,13628.439899999978,1157753.2398999997,1144124.7999999998,157753.2398999997,0.1577532398999997
2014-11-13,13628.439899999978,1142430.1399,1128801.7000000002,142430.13990000007,0.14243013990000006
2014-11-14,13628.439899999978,1130171.6598999999,1116543.22,130171.65989999985,0.13017165989999985
2014-11-17,13628.439899999978,1112805.4799,1099177.04,112805.47989999992,0.11280547989999992
2014-11-18,13628.439899999978,1097482.3798999998,1083853.94,97482.37989999983,0.09748237989999982
2014-11-19,13628.439899999978,1099525.4599,1085897.02,99525.4598999999,0.0995254598999999
2014-11-20,13628.439899999978,1099525.4599,1085897.02,99525.4598999999,0.0995254598999999
2014-11-21,13628.439899999978,1116891.6399,1103263.2000000002,116891.63990000007,0.11689163990000007
2014-11-24,13628.439899999978,1114848.5598999998,1101220.1199999999,114848.55989999976,0.11484855989999976
2014-11-25,13628.439899999978,1135279.3599,1121650.9200000002,135279.35990000004,0.13527935990000003
2014-11-26,13628.439899999978,1158774.7799,1145146.34,158774.77989999996,0.15877477989999997
2014-11-27,13628.439899999978,1168990.1798999999,1155361.74,168990.17989999987,0.16899017989999987
2014-11-28,13628.439899999978,1284424.1999,1270795.76,284424.1998999999,0.2844241998999999
2014-12-01,13628.439899999978,1258885.6999,1245257.26,258885.6998999999,0.2588856998999999
2014-12-02,13628.439899999978,1353888.9198999999,1340260.48,353888.91989999986,0.3538889198999999
